2026-04-28 20:08:21 | INFO | SmartScraper | Success with requests!
2026-04-28 20:08:21 | INFO | SmartScraper | Data extracted for /en/ad/apartment-for-sale-185-sqm-lowest-price-in-the-market-ultra-super-lux-finishing-in-park-corner-hyde-park-ID503379517.html
2026-04-28 20:08:21 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-28 20:08:23 | INFO | SmartScraper | Response status: 200, length: 4788603
2026-04-28 20:08:23 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-28 20:08:23 | INFO | SmartScraper | Success with requests!
2026-04-28 20:08:23 | INFO | SmartScraper | Data extracted for /en/ad/corner-apartment-for-sale-199-sqm-lowest-price-in-the-market-3-bedrooms-with-kitchen-and-acs-prime-location-in-hyde-park-ID503365212.html
2026-04-28 20:08:23 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-28 20:08:28 | INFO | SmartScraper | Response status: 200, length: 4791005
2026-04-28 20:08:28 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-28 20:08:28 | INFO | SmartScraper | Success with requests!
2026-04-28 20:08:28 | INFO | SmartScraper | Data extracted for /en/ad/apartment-with-garden-for-sale-fully-finished-with-cash-discount-in-new-cairo-hyde-park-fifth-settlement-near-auc-ID502587774.html
2026-04-28 20:08:29 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-28 20:08:32 | INFO | SmartScraper | Response status: 200, length: 4781279
2026-04-28 20:08:32 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-28 20:08:32 | INFO | SmartScraper | Success with requests!
2026-04-28 20:08:32 | INFO | SmartScraper | Data extracted for /en/ad/apartment-for-sale-in-hyde-park-168m-in-best-location-on-best-view-in-phase-fifth-settlement-ID503403634.html
2026-04-28 20:08:32 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-28 20:08:34 | INFO | SmartScraper | Response status: 200, length: 4783296
2026-04-28 20:08:34 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-28 20:08:34 | INFO | SmartScraper | Success with requests!
2026-04-28 20:08:34 | INFO | SmartScraper | Data extracted for /en/ad/lowest-price-apartment-ready-to-move-prime-loaction-land-scape-and-pool-view-in-hyde-park-ID503392941.html
2026-04-28 20:08:34 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-28 20:08:36 | INFO | SmartScraper | Response status: 200, length: 4790337
2026-04-28 20:08:36 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-28 20:08:36 | INFO | SmartScraper | Success with requests!
2026-04-28 20:08:36 | INFO | SmartScraper | Data extracted for /en/ad/under-market-price-fully-finished-apartment-3-bedrooms-for-sale-prime-location-in-hyde-park-new-cairo-with-kitchen-and-acs-ready-to-move-ID503393249.html
2026-04-28 20:08:36 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-28 20:08:39 | INFO | SmartScraper | Response status: 200, length: 4798458
2026-04-28 20:08:39 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-28 20:08:39 | INFO | SmartScraper | Success with requests!
2026-04-28 20:08:39 | INFO | SmartScraper | Data extracted for /en/ad/under-market-price-fully-finished-apartment-2-bedrooms-for-sale-prime-location-in-hyde-park-new-cairo-north-direction-ready-to-move-ID503393342.html
2026-04-28 20:08:39 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-28 20:08:41 | INFO | SmartScraper | Response status: 200, length: 4785601
2026-04-28 20:08:41 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-28 20:08:41 | INFO | SmartScraper | Success with requests!
2026-04-28 20:08:41 | INFO | SmartScraper | Data extracted for /en/ad/ready-to-move-apartment-with-landscape-and-pool-view-for-sale-at-hyde-park-new-cairo-ID503393627.html
2026-04-28 20:08:41 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-28 20:08:42 | INFO | SmartScraper | Response status: 200, length: 4791661
2026-04-28 20:08:42 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-28 20:08:42 | INFO | SmartScraper | Success with requests!
