2026-04-27 19:09:22 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 19:09:36 | INFO | SmartScraper | Response status: 200, length: 4777799
2026-04-27 19:09:36 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-27 19:09:36 | INFO | SmartScraper | Success with requests!
2026-04-27 19:09:36 | INFO | SmartScraper | Data extracted for /en/ad/under-market-price-apartment-2-bedrooms-bahry-for-sale-ready-to-move-view-landscape-very-prime-location-in-hyde-park-new-cairo-ID503396059.html
2026-04-27 19:09:36 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 19:09:51 | ERROR | SmartScraper | Request error: Failed to perform, curl: (28) Operation timed out after 15009 milliseconds with 0 bytes received. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2026-04-27 19:09:51 | INFO | SmartScraper | Challenge detected. Using Selenium...
2026-04-27 19:10:04 | INFO | SmartScraper | Data extracted for /en/ad/under-market-price-duplex-234-for-sale-bahry-ready-to-move-view-landscape-very-prime-location-in-hyde-park-fifth-settlement-ID503395973.html
2026-04-27 19:10:06 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 19:10:13 | INFO | SmartScraper | Response status: 200, length: 4761283
2026-04-27 19:10:13 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-27 19:10:13 | INFO | SmartScraper | Success with requests!
2026-04-27 19:10:13 | INFO | SmartScraper | Data extracted for /en/ad/apartment-113m2-2-bedrooms-in-hyde-park-new-cairo-directly-on-90th-street-priced-at-117-million-ID503356779.html
2026-04-27 20:04:50 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 20:04:53 | INFO | SmartScraper | Response status: 200, length: 4785139
2026-04-27 20:04:53 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-27 20:04:53 | INFO | SmartScraper | Success with requests!
2026-04-27 20:04:53 | INFO | SmartScraper | Data extracted for /en/ad/an-opportunity-for-luxurious-living-in-heart-of-new-cairo-receive-now-a-duplex-with-view-park-prime-corner-location-near-mountain-view-hyde-park-ID503369939.html
2026-04-27 20:04:53 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 20:04:56 | INFO | SmartScraper | Response status: 200, length: 4783799
2026-04-27 20:04:56 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-27 20:04:56 | INFO | SmartScraper | Success with requests!
2026-04-27 20:04:56 | INFO | SmartScraper | Data extracted for /en/ad/under-market-price-apartment-2-bedrooms-bahry-for-sale-ready-to-move-view-landscape-very-prime-location-in-hyde-park-new-cairo-ID503396059.html
2026-04-27 20:04:57 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 20:04:58 | INFO | SmartScraper | Response status: 200, length: 4775496
2026-04-27 20:04:58 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-27 20:04:58 | INFO | SmartScraper | Success with requests!
2026-04-27 20:04:58 | INFO | SmartScraper | Data extracted for /en/ad/under-market-price-duplex-234-for-sale-bahry-ready-to-move-view-landscape-very-prime-location-in-hyde-park-fifth-settlement-ID503395973.html
2026-04-27 20:04:58 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 20:04:59 | INFO | SmartScraper | Response status: 200, length: 4765257
2026-04-27 20:04:59 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-27 20:04:59 | INFO | SmartScraper | Success with requests!
2026-04-27 20:04:59 | INFO | SmartScraper | Data extracted for /en/ad/apartment-113m2-2-bedrooms-in-hyde-park-new-cairo-directly-on-90th-street-priced-at-117-million-ID503356779.html
2026-04-27 20:04:59 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 20:05:01 | INFO | SmartScraper | Response status: 200, length: 4781379
2026-04-27 20:05:01 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-27 20:05:01 | INFO | SmartScraper | Success with requests!
2026-04-27 20:05:01 | INFO | SmartScraper | Data extracted for /en/ad/with-dp-5-new-launch-at-hyde-park-new-cairo-own-apartment-3bed-next-to-auc-on-south-90-direct-ID503387688.html
2026-04-27 20:05:01 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 20:05:02 | INFO | SmartScraper | Response status: 200, length: 4775103
2026-04-27 20:05:02 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-27 20:05:02 | INFO | SmartScraper | Success with requests!
2026-04-27 20:05:03 | INFO | SmartScraper | Data extracted for /en/ad/for-sale-lowest-price-for-apartment-ready-for-viewing-with-prime-location-view-landscape-for-sale-hyde-park-new-cairo-fifth-settlement-next-to-mivida-ID503281376.html
2026-04-27 20:05:03 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 20:05:05 | INFO | SmartScraper | Response status: 200, length: 4767152
2026-04-27 20:05:05 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-27 20:05:05 | INFO | SmartScraper | Success with requests!
2026-04-27 20:05:05 | INFO | SmartScraper | Data extracted for /en/ad/apartment-for-sale-in-hyde-park-new-cairo-ID503379016.html
2026-04-27 20:05:05 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 20:05:08 | INFO | SmartScraper | Response status: 200, length: 4768495
2026-04-27 20:05:08 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-27 20:05:08 | INFO | SmartScraper | Success with requests!
2026-04-27 20:05:08 | INFO | SmartScraper | Data extracted for /en/ad/%D9%81%D8%B1%D8%B5%D8%A9-%D9%85%D9%85%D9%8A%D8%B2%D8%A9-maizonate-%D9%81%D9%8A-hyde-park-%D8%A8%D8%AC%D8%A7%D8%B1%D8%AF%D9%86-100%D9%85-%D8%AA%D8%B4%D8%B7%D9%8A%D8%A8-%D9%83%D8%A7%D9%85%D9%84-%D8%A8%D8%A7%D9%84%D8%AA%D9%83%D9%8A%D9%8A%D9%81%D8%A7%D8%AA-%D8%A7%D9%84%D8%AA%D8%AC%D9%85%D8%B9-%D8%A7%D9%84%D8%AE%D8%A7%D9%85%D8%B3-%D8%A8%D8%A3%D9%82%D9%84-%D9%85%D9%86-%D8%B3%D8%B9%D8%B1%D9%87%D8%A7-%D8%A7%D9%84%D8%AD%D8%A7%D9%84%D9%89-ID503383090.html
2026-04-27 20:05:08 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 20:05:09 | INFO | SmartScraper | Response status: 200, length: 4780266
2026-04-27 20:05:09 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-27 20:05:09 | INFO | SmartScraper | Success with requests!
2026-04-27 20:05:10 | INFO | SmartScraper | Data extracted for /en/ad/luxury-apartment-in-prime-east-cairo-location-fully-finished-with-hotel-standards-high-rental-return-opportunity-with-premium-facilities-ID503341036.html
2026-04-27 20:05:10 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 20:05:11 | INFO | SmartScraper | Response status: 200, length: 4764521
2026-04-27 20:05:11 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-27 20:05:11 | INFO | SmartScraper | Success with requests!
2026-04-27 20:05:11 | INFO | SmartScraper | Data extracted for /en/ad/prime-location-2-bedroom-apartment-116-sq-m-for-sale-in-hyde-park-new-cairo-park-way-residence-near-90th-street-and-the-americ-ID503276734.html
2026-04-27 20:05:11 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 20:05:16 | INFO | SmartScraper | Response status: 200, length: 4786912
2026-04-27 20:05:16 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-27 20:05:16 | INFO | SmartScraper | Success with requests!
2026-04-27 20:05:16 | INFO | SmartScraper | Data extracted for /en/ad/with-installment-20k-ready-to-move-2-bedrooms-open-view-apartment-for-sale-in-hyde-park-fifth-settlement-next-to-mountain-view-and-amorada-ID502551028.html
2026-04-27 20:05:16 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 20:05:19 | INFO | SmartScraper | Response status: 200, length: 4782984
2026-04-27 20:05:19 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-27 20:05:19 | INFO | SmartScraper | Success with requests!
2026-04-27 20:05:19 | INFO | SmartScraper | Data extracted for /en/ad/fully-finished-3-bedroom-apartment-for-sale-in-hyde-park-direct-on-south-90th-street-hyde-park-new-cairo-ID503227090.html
2026-04-27 20:05:19 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 20:05:21 | INFO | SmartScraper | Response status: 200, length: 4780818
2026-04-27 20:05:21 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-27 20:05:21 | INFO | SmartScraper | Success with requests!
2026-04-27 20:05:22 | INFO | SmartScraper | Data extracted for /en/ad/apartment-for-sale-185-sqm-lowest-price-in-the-market-ultra-super-lux-finishing-in-park-corner-hyde-park-ID503379517.html
2026-04-27 20:05:22 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 20:05:24 | INFO | SmartScraper | Response status: 200, length: 4777336
2026-04-27 20:05:24 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-27 20:05:24 | INFO | SmartScraper | Success with requests!
2026-04-27 20:05:24 | INFO | SmartScraper | Data extracted for /en/ad/corner-apartment-for-sale-199-sqm-lowest-price-in-the-market-3-bedrooms-with-kitchen-and-acs-prime-location-in-hyde-park-ID503365212.html
2026-04-27 20:05:24 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 20:05:25 | INFO | SmartScraper | Response status: 200, length: 4785964
2026-04-27 20:05:25 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-27 20:05:25 | INFO | SmartScraper | Success with requests!
2026-04-27 20:05:26 | INFO | SmartScraper | Data extracted for /en/ad/apartment-with-garden-for-sale-fully-finished-with-cash-discount-in-new-cairo-hyde-park-fifth-settlement-near-auc-ID502587774.html
2026-04-27 20:05:26 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 20:05:30 | INFO | SmartScraper | Response status: 200, length: 4773679
2026-04-27 20:05:30 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-27 20:05:30 | INFO | SmartScraper | Success with requests!
2026-04-27 20:05:30 | INFO | SmartScraper | Data extracted for /en/ad/apartment-for-sale-in-hyde-park-168m-in-best-location-on-best-view-in-phase-fifth-settlement-ID503403634.html
2026-04-27 20:05:30 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 20:05:31 | INFO | SmartScraper | Response status: 200, length: 4775772
2026-04-27 20:05:31 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-27 20:05:31 | INFO | SmartScraper | Success with requests!
2026-04-27 20:05:32 | INFO | SmartScraper | Data extracted for /en/ad/lowest-price-apartment-ready-to-move-prime-loaction-land-scape-and-pool-view-in-hyde-park-ID503392941.html
2026-04-27 20:05:32 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 20:05:36 | INFO | SmartScraper | Response status: 200, length: 4778656
2026-04-27 20:05:36 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-27 20:05:36 | INFO | SmartScraper | Success with requests!
2026-04-27 20:05:36 | INFO | SmartScraper | Data extracted for /en/ad/under-market-price-fully-finished-apartment-3-bedrooms-for-sale-prime-location-in-hyde-park-new-cairo-with-kitchen-and-acs-ready-to-move-ID503393249.html
2026-04-27 20:05:36 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 20:05:38 | INFO | SmartScraper | Response status: 200, length: 4786487
2026-04-27 20:05:38 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-27 20:05:38 | INFO | SmartScraper | Success with requests!
2026-04-27 20:05:38 | INFO | SmartScraper | Data extracted for /en/ad/under-market-price-fully-finished-apartment-2-bedrooms-for-sale-prime-location-in-hyde-park-new-cairo-north-direction-ready-to-move-ID503393342.html
2026-04-27 20:05:38 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 20:05:39 | INFO | SmartScraper | Response status: 200, length: 4778303
2026-04-27 20:05:39 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-27 20:05:39 | INFO | SmartScraper | Success with requests!
2026-04-27 20:05:39 | INFO | SmartScraper | Data extracted for /en/ad/ready-to-move-apartment-with-landscape-and-pool-view-for-sale-at-hyde-park-new-cairo-ID503393627.html
2026-04-27 20:05:39 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 20:05:41 | INFO | SmartScraper | Response status: 200, length: 4781402
2026-04-27 20:05:41 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-27 20:05:41 | INFO | SmartScraper | Success with requests!
2026-04-27 20:05:41 | INFO | SmartScraper | Data extracted for /en/ad/fully-finished-apartment-with-garden-36m-ready-to-move-lowest-price-in-compound-hyde-park-new-cairo-fifth-settlement-ID502962156.html
2026-04-27 20:05:41 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 20:05:42 | INFO | SmartScraper | Response status: 200, length: 4769489
2026-04-27 20:05:42 | INFO | SmartScraper | Content looks valid, using requests response
